SourceName,Village,Subcounty,GPS,LabIdentifierCode,Ecoli,pH,ElectricalConductivtiy,Turbidity,Color,TotalDissolvedSolids,TotalAlkalinity,Bicarbonates,TotalHardness,CalciumHardness,magnesiumHardness,Sodium,Potassium,Flouride,Chloride,Sulphate,Nitrites,Nitrates,Ammonium,Phosphates,TotalChlorine,FreeChlorine
SourceName,Village,Subcounty,GPS,LabIdentifierCode,CFU100ml,pHunits,µs_cm,NTU,PtCo.,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,,
Kasowole P/Sch borehole DWD 86267,Bulagala B,Kigumba,36N 510054E,E22/09951,8,6.4,552,2.1,<0.2432,386.4,190,231.8,156.4,98.8,57.6,54,5.5,0.55,20,61,0.01,3.65,0.07,0.19,ND,ND
Namusita Buyima community b/hole DWD 66233,Namusita Buyima,Kigumba,36N,E22/09952,<1,6.1,276,1.7,<0.2432,193.2,115,140.3,82,47.4,34.6,26,2.6,0.52,3.2,15,<0.001,2.82,0.04,0.14,ND,ND
Busuna shallow well,Busuna,Bulawoli T/C,36N 510908E,E22/09953,78,5.7,230,2.8,13,161,37,45.14,40.4,23,17.4,25,7.4,0.21,14,26,0.01,4.37,0.12,0.01,ND,ND
Namuyinji HC II borehole,Namuyingi,Nabiwigulu,36N 511123E,E22/09954,<1,6.4,530,1.9,<0.2432,371,110,134.2,166.8,93.6,73.2,31,3.9,0.5,72,9.4,0.01,3.1,0.02,0.09,ND,ND
Bulindi shallow well,Bulindi,Nankulyaku,36N 512469E,E22/09955,<1,5.1,129,2.4,<0.2432,90.3,14,17.08,26.2,13.4,12.8,6.8,16,0.23,0.9,18,<0.001,6.1,0.05,0.01,ND,ND
Namaganda shallow well,Namaganda Butooli,Kitayundwa,36N 522216E,E22/09958,<1,5.4,184,1.8,<0.2432,128.8,21,25.62,29.4,20.6,8.8,22,2.3,0.17,13,22,<0.001,3.52,0.02,0.05,ND,ND
Naminage community borehole DWD 28947,Naminage,Kitayundwa,36N 520263E,E22/09959,<1,6.2,621,2.1,1,434.7,150,183,238,82,156,29,4.2,0.4,48,39,0.1,29,0.05,0.11,ND,ND
Kitayundwa community borehole,Kitayundwa,Kitayundwa,36N 517950E,E22/09960,<1,6.6,576,1.8,<0.2432,403.2,240,292.8,254.8,188,66.8,25,2.2,0.34,7.2,44,<0.001,8.72,0.08,0.12,ND,ND
Kitayundwa shallow well,Kitayundwa,Kitayundwa,36N 517895E,E22/09961,10,6.5,571,2.5,4,399.7,175,213.5,210.2,128.6,81.6,31,5.5,0.24,27,26,0.01,13,0.01,0.01,ND,ND
Namisambya shalllow well,Namisambya,Northern Div,36N 515772E,E22/09962,<1,5.9,131,1.7,<0.2432,91.7,16,19.52,30.4,21.2,9.2,6.9,7.8,0.1,7.1,6.7,<0.001,6.12,0.27,0.02,ND,ND
Namisambya community borehole,Namisambya 2,Northern Div,36N 515581E,E22/09963,<1,5.8,557,1.8,<0.2432,389.9,74,90.28,146.4,79.2,67.2,46,5.6,0.23,55,115,0.01,3.2,<0.002,0.1,ND,ND
Bukwenge COU borehole,Bukwenge,Kamuli Municipality,36N 513070E,E22/09964,<1,6.2,434,1.8,<0.2432,303.8,85,103.7,120.4,77.4,43,47,6.4,0.34,28,38,<0.001,11,0.18,0.19,ND,ND
NWSC Kamuli resovior (final treated water),,Kamuli Municipality,36N 513674E,E22/09965,<1,6.9,716,1.8,2,501.2,130,158.6,215.6,123.2,92.4,55,7.3,0.64,110,16,0.01,2.63,0.19,0.1,ND,ND
community borehole,Bulyampanga,Butunsi,36N 510133E,E22/09969,<1,6,162,1.7,<0.2432,113.4,53,64.66,42.4,23.2,19.2,15,3,0.27,9.2,5.6,0.01,2.57,0.08,0.3,ND,ND
Busobya community borehole,Busobya zone,Mbulamuti,36N 505754E,E22/09972,<1,5.8,161,1.6,<0.2432,112.7,52,63.44,33.8,20,13.8,17,2.8,0.32,4.5,2.2,0.01,5.99,0.05,0.1,ND,ND
