SourceName,Village,Subcounty,GPS,LabIdentifierCode,Ecoli,pH,ElectricalConductivtiy,Turbidity,Color,TotalDissolvedSolids,TotalAlkalinity,Bicarbonates,TotalHardness,CalciumHardness,magnesiumHardness,Sodium,Potassium,Flouride,Chloride,Sulphate,Nitrites,Nitrates,Ammonium,Phosphates,Total Chlorine,FreeChlorine
SourceName,Village,Subcounty,GPS,LabIdentifierCode,CFU_100ml,pHunits,µS_cm,NTU,PtCo,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,,
Wampologma community b/hole DWD 59654,Wampologoma,Busana,36N 500569E,E22/09973,<1,6.1,220,1.9,<0.2432,154,100,122,79,68.8,10.2,14,2,0.22,1.2,7.8,0.01,1.43,0.04,0.08,ND,ND
Bugonda community b/hole WDD 178,Bugonda,Busaana,36N 499418E,E22/09974,<1,6.8,785,1.8,<0.2432,549.5,195,237.9,318.4,149,169.4,30,7.7,0.8,73,80,<0.001,0.82,<0.002,0.03,ND,ND
Bugonda shallow well,Bugonda,BUsaana,36N 500922E,E22/09975,<1,5.7,197,1.8,<0.2432,137.9,34,41.48,44,21.4,22.6,12,16,0.07,1.7,5.8,<0.001,16,0.11,0.03,ND,ND
Buganda borehole,Buganda,Busaana,36N 501106E,E22/09976,<1,5.8,756,1.6,<0.2432,529.2,60,73.2,212.8,112.2,100.6,55,9.4,0.15,124,91,<0.001,5.49,0.05,0.02,ND,ND
Namirembe village borehole WDD 782,Namirembe,Busaana,36N 497400E,E22/09977,<1,6,317,1.7,<0.2432,221.9,99,120.78,110.4,53.2,57.2,16,3.9,0.42,35,1.6,<0.001,2.35,0.06,0.05,ND,ND
Nongo mosque borehole,Nongo,Kitmbwa,36N 492655E,E22/09978,<1,6,272,2.7,<0.2432,190.4,110,134.2,101.6,69.8,31.8,13,1.7,0.24,9.8,2.3,0.02,4.13,0.15,0.1,ND,ND
Budada borehole,Budada,Kitimbwa,36N 487727E,E22/09979,<1,5.8,566,1.8,1,396.2,600,732,158.6,102.4,56.2,35,10,0.31,100,34,<0.001,6.49,0.05,0.17,ND,ND
Bulawula village b/hole WDD 9128,Bulawula C,Kitmbwa S/C,36N 494850E,E22/09981,<1,6.2,271,1.8,<0.2432,189.7,130,158.6,132.2,61,71.2,15,4.1,0.44,1.6,2.6,<0.001,2.09,0.09,0.13,ND,ND
Nkokonjeru p/sch borehole,Nkokonjeru,Kitimbwa,36N 4942223E,E22/09982,<1,6,260,2.2,11,182,66,80.52,74.4,45.8,28.6,20,3.4,0.35,28,1.1,<0.001,6.61,0.08,0.04,ND,ND
Busaana T/C H/qtrs borehole,Kawuku,Busaana,36N 498574E,E22/09983,<1,6.4,483,1.8,<0.2432,338.1,95,115.9,150,89.8,60.2,29,5.2,0.38,44,16,<0.001,20,0.01,0.24,ND,ND
