SourceName,Village,Subcounty,GPS,LabIdentifierCode,pH,ElectricalConductivtiy,Turbidity,Totaldissolvedsolids,Sodium,Fluoride,Chloride,Nitrate,Sulphate,Totalhardness,Calciumhardness,Magnesiumhardness,TotalAlkalinity,Bicarbonates
SourceName,Village,Subcounty,GPS,LabIdentifierCode,pHunits,µs_cm,NTU,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L
Zone 4 &5 4980,Block 4,,437542,UN23/0263,7.28,881,0.14,616.7,116.3,0.38,6.75,<0.02,2.47,266.8,83.6,43.97,524,639.3
Zone 4 &5 4980,Block 4,,437542,UN23/0264,7.29,956,0.23,669.2,130.6,0.31,5.31,<0.02,2.33,270.8,70.4,48.1,468,571
Zone 4 &5 4980,Block 4,,437086,UN23/0265,7.33,987,0.88,690.9,106.8,0.35,5.32,<0.02,2.85,248.4,124.8,29.66,524,639.3
Zone 1 Block 4,Block 4B,,437086,UN23/0266,7.56,727,1.12,508.9,68.77,0.468,12.38,5.57,2.84,296.8,138.4,38.02,312,380.6
Zone 1 Block 4,Block 4B,,437086,UN23/0267,7.37,859,6.12,601.3,67.79,0.49,11.14,5.7,2.43,278.4,46.8,55.58,440,536.8
Zone 5 Block 12,Block 12A Zone B,,442869,UN23/0268,7.34,865,0.24,605.5,79.06,0.38,11.83,<0.02,6.01,369.6,68,72.38,508,619.8
Zone 5 Block 12,Block 12A Zone B,,442869,UN23/0269,7.59,863,6.18,604.1,78.23,0.34,12.25,<0.02,6.23,332.8,91.6,57.89,420,512.4
Zone 5 Block 12,Block 12A Zone B,,442869,UN23/0270,7.55,874,0.29,611.8,74.29,0.66,11.6,<0.02,5.81,360,97.2,63.07,528,644.2
Zone 5 Block 12,Block 12A Zone B,,442869,UN23/0271,7.62,817,0.37,571.9,75.3,0.98,21.2,<0.02,8.46,338.8,122,52.03,492,600.2
Zone 5 Block 12,Block 12A Zone B,,442869,UN23/0272,7.72,848,0.42,593.6,77.77,1.6,17.4,<0.02,7.52,329.6,100,55.1,472,575.8
Nyalagala,Nyalagala,,455385,UN23/0273,7.05,472,0.18,330.4,24.6,1.8,0.81,<0.02,8.14,249.2,102.4,35.23,260,317.2
Olug Olo 22365,Akelikongo North,,459754,UN23/0274,6.63,276,397,193.2,18.65,0.62,0.68,<0.02,,142,79.6,14.98,164,200.1
Nyalagala 37447,Akelikongo North,,455385,UN23/0275,7.69,472,0.49,330.4,24.67,1.28,0.29,<0.02,7.21,249.6,124.8,29.95,164,200.1
Olug Olo 22365,Alelikongo North,,459754,UN23/0276,6.6,280,0.53,196,16.21,0.682,0.33,<0.02,,161.6,64,23.42,240,292.8
Pok Lengo,Alelikongo North,,455175,UN23/0277,5.98,56.1,0.33,39.27,3.98,1.29,0.92,2.11,,59.2,49.2,2.4,164,200.1
Zone 4 Block 9,Zone 4 Block 9,,441588,UN23/0278,7.42,805,0.35,563.5,75.48,0.6,3.96,2.02,7.5,336.8,127.2,50.3,56,68.3
Zone 4 Block 9,Zone 4 Block 9,,441588,UN23/0279,7.5,799,0.47,559.3,84.44,0.25,4.25,<0.02,10.8,288,116.4,41.18,520,634.4
Zone 4 Block 9,Zone 4 Block 9,,441588,UN23/0280,7.33,806,0.39,564.2,81.56,0.24,4.16,1.39,10.06,327.6,104,53.66,372,453.8
Zone 4 Block 9,Zone 4 Block 9,,441588,UN23/0281,7.07,808,0.48,565.6,85.8,0.25,4.17,<0.02,10.2,287.2,168.8,28.42,392,478.2
Zone 4 Block 10,Zone 4 Block 9,,441588,UN23/0282,7.54,801,0.22,560.7,82.9,0.22,4.19,<0.02,9.53,331.6,155.6,42.24,436,531.9
Zone 6 Block 6,Zone 6 Block 6,,444534,UN23/0283,7.09,505,0.28,353.5,33.03,1.08,4.27,<0.02,2.11,204,51.6,36.58,400,488
Zone 6 Block 6,Zone 6 Block 6,,444534,UN23/0284,7.15,503,0.32,352.1,35.37,1.22,4.87,<0.02,1.93,222,58.4,39.26,272,331.8
Zone 6 Block 6,Zone 6 Block 6,,444534,UN23/0285,6.95,510,0.38,357,34.24,0.52,4.42,<0.02,2.05,238.4,61.6,42.43,280,341.6
Zone 6 Block 6,Zone 6 Block 6,,444534,UN23/0286,7.03,506,0.32,354.2,34.94,0.52,4.41,<0.02,1.91,234.4,67.6,40.03,312,380.6
Zone 7 Block 8,Ajagala,,442495,UN23/0287,8.22,640,0.26,448,54.97,1.04,13.35,5.67,4.6,251.6,69.2,43.78,284,346.5
Ajagala 45571,Ajagala,,441964,UN23/0288,7.81,693,0.4,485.1,64.42,1.14,10.96,6.73,3.78,239.2,122.4,28.03,324,395.3
Block 8 Zone 7,Ajagala,,442495,UN23/0289,7.07,772,0.72,540.4,54.93,0.91,10.88,8.14,4.69,355.6,39.6,75.84,352,429.4
Ajagala 45571,Ajagala,,441964,UN23/0290,7.83,688,0.24,481.6,62.1,0.39,10.89,6.36,3.74,225.2,45.6,43.1,400,488
Ajagala 45571,Ajagala,,441964,UN23/0291,7.97,683,0.18,478.1,62.04,1.11,10.13,6,3.96,256,40.8,51.65,376,458.7
Ajaogala,Ajaogala,,440389,UN23/0292,7.48,473,0.22,331.1,31.2,0.44,2.32,1.77,1.55,231.6,64.8,40.03,380,463.6
Ajaogala,Ajaogala,,440618,UN23/0293,6.99,841,0.24,588.7,80.1,1.17,8.9,<0.02,4.31,239.6,32.4,49.73,280,341.6
Bwero Langwidi,Ajaogala,,439533,UN23/0294,6.78,309,6.11,216.3,29.6,1.25,5.15,1.43,0.38,102.8,40.8,14.88,444,541.7
Ajaogala,Ajaogala,,440626,UN23/0295,6.93,357,0.18,249.9,24.39,1.56,1.55,4.06,,91.2,56.8,8.26,188,229.4
Block 7 Zone 7,Ajaogala,,441167,UN23/0296,7.03,466,0.22,326.2,31.4,0.23,2.27,1.91,1.63,171.6,64.8,25.63,264,322.1
